source_id,source_name,FINAL CATEGORY
44,GovCan - CRA,Government
47,GovCan - ECCC,Government
46,GovCan - ESDC,Government
48,GovCan - FedDev Ontario,Government
49,GovCan - FedNor,Government
50,GovCan - IRCC,Government
51,GovCan - ISED,Government
43,GovCan - National News,Government
52,GovCan - PCO,Government
45,GovCan - Rural Community,Government
53,GovCan - WD,Government
42,Ontario Newsroom,Government
41,IDRC,Government
17,Council of Canadian Academies,Government
55,CBC Canada,News & Media
58,CBC Indigenous,News & Media
61,CBC North,News & Media
60,CBC Ottawa,News & Media
56,CBC Politics,News & Media
62,CBC Saskatchewan,News & Media
57,CBC Technology,News & Media
54,CBC Top Stories,News & Media
59,CBC Toronto,News & Media
63,Globe and Mail - Canada,News & Media
66,Media Technology Monitor,News & Media
22,Max Bell School,Academic Research
27,Munk School,Academic Research
15,Queen's CIDP,Academic Research
31,Amii,AI & Tech Research
33,CRIM,AI & Tech Research
29,Mila,AI & Tech Research
30,RBC Borealis AI,AI & Tech Research
32,Vector Institute,AI & Tech Research
14,CIFAR,AI & Tech Research
23,Canadian Climate Institute,Think Tank
24,Centre for Future Work,Think Tank
16,CSLS,Think Tank
18,IISD,Think Tank
26,IRIS,Think Tank
19,Parkland Institute,Think Tank
25,Smart Prosperity Institute,Think Tank
20,SRDC,Think Tank
28,The Dais,Think Tank
10,Broadbent Institute,Think Tank
1,Canada West Foundation,Think Tank
5,Cardus,Think Tank
7,C.D. Howe Institute,Think Tank
6,CIGI,Think Tank
4,Fraser Institute,Think Tank
9,Institute on Governance,Think Tank
12,IRPP,Think Tank
8,Macdonald-Laurier Institute,Think Tank
11,MEI,Think Tank
3,Policy Alternatives,Think Tank
2,Public Policy Forum,Think Tank
13,Policy Options (IRPP),Think Tank
36,Maytree,Think Tank
21,Wellesley Institute,Think Tank
64,Business Council of Canada,Business & Industry Advocacy
65,Conference Board of Canada,Business & Industry Advocacy
37,Clean Energy Canada,Policy Advocacy
35,The Council of Canadians,Policy Advocacy
38,Samara Centre,Policy Advocacy
39,Canadian Economics Association,Professional Networks
40,IPAC,Professional Networks
34,CCEDNet,Professional Networks