Source Name,Site URL,Feed URL,Socials Feed URL,GA Feed URL,Category,Tags,Bias / Lean
Canada West Foundation,https://cwf.ca/,https://cwf.ca/feed/?post_type=publication,,https://www.google.ca/alerts/feeds/08144856538264139096/266048566005541652,Think Tank,"western-canada, economics",Centrist
Public Policy Forum,https://ppforum.ca/,https://ppforum.ca/feed/?post_type=publication,,https://www.google.ca/alerts/feeds/08144856538264139096/18269391233888994355,Think Tank,"federal, policy",Centrist
Policy Alternatives,https://www.policyalternatives.ca/,https://www.policyalternatives.ca/rss.xml,,https://www.google.ca/alerts/feeds/08144856538264139096/13022325820471654618,Think Tank,"economics, social-policy",Center-Left
Fraser Institute,https://www.fraserinstitute.org/,https://www.fraserinstitute.org/rss.xml?RssID=296,,https://www.google.ca/alerts/feeds/08144856538264139096/18101407892036444953,Think Tank,"economics, market",Libertarian / Center-Right
Cardus,https://www.cardus.ca/,https://www.cardus.ca/rss,,,Think Tank,"social-policy, faith",Social Conservative
CIGI,https://www.cigionline.org/,https://cigionlineorg.substack.com/feed,,https://www.google.ca/alerts/feeds/08144856538264139096/15528572636244231104,Think Tank,"international, governance, tech",Centrist
C.D. Howe Institute,https://cdhowe.org/,https://cdhowe.org/feed/,,https://www.google.ca/alerts/feeds/08144856538264139096/4391818787022105740,Think Tank,"economics, fiscal-policy",Center-Right
Macdonald-Laurier Institute,https://macdonaldlaurier.ca/,https://macdonaldlaurier.ca/rss,,https://www.google.ca/alerts/feeds/08144856538264139096/1573042025882809296,Think Tank,"federal, policy, foreign-policy",Center-Right
Institute on Governance,https://iog.ca/,https://iog.ca/rss,,https://www.google.ca/alerts/feeds/08144856538264139096/682552793555861210,Think Tank,"governance, public-sector",Centrist
Broadbent Institute,https://broadbentinstitute.ca/,https://broadbentinstitute.ca/feed/?post_type=publication,,https://www.google.ca/alerts/feeds/08144856538264139096/1798694403610546595,Think Tank,"social-democracy, policy",Left
MEI,https://www.iedm.org/,,,https://www.google.ca/alerts/feeds/08144856538264139096/2957508470107237964,Think Tank,"economics, market, quebec",Libertarian
IRPP,https://irpp.org/,https://irpp.org/feed2/,,https://www.google.ca/alerts/feeds/08144856538264139096/14176976933702286103,Think Tank,"federal, social-policy",Centrist
Policy Options (IRPP),https://policyoptions.irpp.org/,https://policyoptions.irpp.org/feed/,,,Publication,"federal, policy, commentary",Centrist
CIFAR,https://cifar.ca/,https://cifar.ca/feed/,,https://www.google.ca/alerts/feeds/08144856538264139096/8323354125819000479,Research Institute,"ai, research, innovation",Neutral
Queen's CIDP,https://www.queensu.ca/cidp/,https://www.queensu.ca/cidp/rss.xml,,,Academic,"defense, security, foreign-policy",Neutral
CSLS,https://www.csls.ca/,,https://rss.app/feeds/B2AeQUmzP8PANx1c.xml,https://www.google.ca/alerts/feeds/08144856538264139096/11093375868060426133,Research Institute,"economics, productivity",Neutral
Council of Canadian Academies,https://cca-reports.ca/,https://cca-reports.ca/feed/,,https://www.google.ca/alerts/feeds/08144856538264139096/11856570934699194351,Research Institute,"science, policy, health",Neutral
IISD,https://www.iisd.org/,,,https://www.google.ca/alerts/feeds/08144856538264139096/211431877559483372,Research Institute,"environment, climate",Neutral
Parkland Institute,https://www.parklandinstitute.ca/,https://www.parklandinstitute.ca/rssfeeder.rss,,https://www.google.ca/alerts/feeds/08144856538264139096/3931586228848841125,Research Institute,"alberta, social-policy",Center-Left
SRDC,https://www.srdc.org/,https://www.srdc.org/rss,,https://www.google.ca/alerts/feeds/08144856538264139096/3931586228848841974,Research Institute,"social-policy, employment",Neutral
Wellesley Institute,https://www.wellesleyinstitute.com/,https://www.wellesleyinstitute.com/rss,,https://www.google.ca/alerts/feeds/08144856538264139096/3931586228848842514,Research Institute,"health, social-policy, toronto",Progressive
Max Bell School,https://www.mcgill.ca/maxbellschool/max-policy,https://www.mcgill.ca/maxbellschool/taxonomy/term/3041/all/feed,,https://www.google.ca/alerts/feeds/08144856538264139096/2551222625496250422,Academic,"policy, mcgill",Neutral
Canadian Climate Institute,https://climateinstitute.ca/,,,https://www.google.ca/alerts/feeds/08144856538264139096/2911926875482386386,Research Institute,"climate, environment",Neutral
Centre for Future Work,https://centreforfuturework.ca/,https://centreforfuturework.ca/rss,,https://www.google.ca/alerts/feeds/08144856538264139096/17210546637768040747,Research Institute,"labour, economics",Center-Left
Smart Prosperity Institute,https://institute.smartprosperity.ca/,https://institute.smartprosperity.ca/rss.xml,,https://www.google.ca/alerts/feeds/08144856538264139096/14143996023749460329,Research Institute,"environment, economics",Centrist
IRIS,https://iris-recherche.qc.ca/publications/,,,https://www.google.ca/alerts/feeds/08144856538264139096/15219987337712547899,Research Institute,"quebec, economics",Left
Munk School,https://munkschool.utoronto.ca/,https://munkschool.utoronto.ca/rss.xml,,https://www.google.ca/alerts/feeds/08144856538264139096/7114630987802951795,Academic,"global-affairs, policy",Neutral
The Dais,https://dais.ca/,https://dais.ca/feed/,,https://www.google.ca/alerts/feeds/08144856538264139096/12914006766978552575,Research Institute,"public-policy, innovation",Centrist
Mila,https://mila.quebec/en/research/blog,https://mila.quebec/rss.xml,,,AI Research,"ai, research, quebec",Neutral
RBC Borealis AI,https://rbcborealis.com/publications/,https://rbcborealis.com/feed/?post_type=news,,,AI Research,"ai, research, corporate",Neutral
Amii,https://www.amii.ca/research,,,,AI Research,"ai, research, alberta",Neutral
Vector Institute,https://vectorinstitute.ai/research/,https://vectorinstitute.ai/rss,,,AI Research,"ai, research, ontario",Neutral
CRIM,https://www.crim.ca/fr/blogue-du-crim/,https://www.crim.ca/rss,,,AI Research,"ai, research, quebec",Neutral
CCEDNet,https://ccednet-rcdec.ca/,https://ccednet-rcdec.ca/rss.xml,,https://www.google.ca/alerts/feeds/08144856538264139096/8119943261025624966,Non-Profit,"community-dev, economics",Community-Focused
The Council of Canadians,https://canadians.org/,https://canadians.org/rss,,https://www.google.ca/alerts/feeds/08144856538264139096/11575152205382215467,Advocacy,"social-justice, environment",Progressive
Maytree,https://maytree.com/,,,https://www.google.ca/alerts/feeds/08144856538264139096/13072112785302594347,Foundation,"poverty, social-policy",Progressive
Clean Energy Canada,https://cleanenergycanada.org/,https://cleanenergycanada.org/rss,,https://www.google.ca/alerts/feeds/08144856538264139096/11883085533402931521,Advocacy,"climate, energy, environment",Progressive
Samara Centre,https://www.samaracentre.ca/,,,https://www.google.ca/alerts/feeds/08144856538264139096/13972859782221395273,Non-Profit,"democracy, civic-engagement",Centrist
Canadian Economics Association,https://www.economics.ca/,,,,Association,"economics, academic",Neutral
IPAC,https://www.ipac.ca/,,,https://www.google.ca/alerts/feeds/08144856538264139096/13972859782221396913,Association,"public-admin, governance",Neutral
IDRC,https://idrc-crdi.ca/en,https://idrc-crdi.ca/en/publications/rss.xml,,https://www.google.ca/alerts/feeds/08144856538264139096/5041617061982978690,Government,"international-dev, research",Neutral
Ontario Newsroom,https://news.ontario.ca/en,https://news.ontario.ca/newsroom/en/rss/allnews.rss,,,Government,"ontario, provincial",Neutral
GovCan - National News,https://www.canada.ca/en/news.html,https://api.io.canada.ca/io-server/gc/news/en/v2?sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=National%20News,,,Government,"federal, national",Neutral
GovCan - CRA,https://www.canada.ca/en/news.html,https://api.io.canada.ca/io-server/gc/news/en/v2?dept=revenueagency&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canada%20Revenue%20Agency,,,Government,"federal, cra, tax",Neutral
GovCan - Rural Community,https://www.canada.ca/en/news.html,https://api.io.canada.ca/io-server/gc/news/en/v2?audience=ruralcommunity&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=rural%20community,,,Government,"federal, rural",Neutral
GovCan - ESDC,https://www.canada.ca/en/news.html,https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofemploymentandsocialdevelopment&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Employment%20and%20Social%20Development%20Canada,,,Government,"federal, esdc, employment",Neutral
GovCan - ECCC,https://www.canada.ca/en/news.html,https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentoftheenvironment&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Environment%20and%20Climate%20Change%20Canada,,,Government,"federal, eccc, environment",Neutral
GovCan - FedDev Ontario,https://www.canada.ca/en/news.html,https://api.io.canada.ca/io-server/gc/news/en/v2?dept=economicdevelopmentsouthernontario&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Federal%20Economic%20Development%20Agency%20for%20Southern%20Ontario,,,Government,"federal, ontario, economic-dev",Neutral
GovCan - FedNor,https://www.canada.ca/en/news.html,https://api.io.canada.ca/io-server/gc/news/en/v2?dept=fednor&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=FedNor,,,Government,"federal, northern-ontario",Neutral
GovCan - IRCC,https://www.canada.ca/en/news.html,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofcitizenshipandimmigration&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Immigration,%20Refugees%20and%20Citizenship%20Canada",,,Government,"federal, ircc, immigration",Neutral
GovCan - ISED,https://www.canada.ca/en/news.html,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofindustry&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Innovation,%20Science%20and%20Economic%20Development%20Canada",,,Government,"federal, ised, innovation",Neutral
GovCan - PCO,https://www.canada.ca/en/news.html,https://api.io.canada.ca/io-server/gc/news/en/v2?dept=privycouncil&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Privy%20Council%20Office,,,Government,"federal, pco",Neutral
GovCan - WD,https://www.canada.ca/en/news.html,https://api.io.canada.ca/io-server/gc/news/en/v2?dept=westerneconomicdiversification&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Western%20Economic%20Diversification%20Canada,,,Government,"federal, western-canada",Neutral
CBC Top Stories,https://www.cbc.ca/news,https://www.cbc.ca/webfeed/rss/rss-topstories,,,News Media,"news, federal",Centrist
CBC Canada,https://www.cbc.ca/news,https://www.cbc.ca/webfeed/rss/rss-canada,,,News Media,"news, federal",Centrist
CBC Politics,https://www.cbc.ca/news,https://www.cbc.ca/webfeed/rss/rss-politics,,,News Media,"news, federal, politics",Centrist
CBC Technology,https://www.cbc.ca/news,https://www.cbc.ca/webfeed/rss/rss-technology,,,News Media,"news, technology",Centrist
CBC Indigenous,https://www.cbc.ca/news,https://www.cbc.ca/webfeed/rss/rss-Indigenous,,,News Media,"news, indigenous",Centrist
CBC Toronto,https://www.cbc.ca/news/canada/toronto,https://www.cbc.ca/webfeed/rss/rss-canada-toronto,,,News Media,"news, toronto",Centrist
CBC Ottawa,https://www.cbc.ca/news/canada/ottawa,https://www.cbc.ca/webfeed/rss/rss-canada-ottawa,,,News Media,"news, ottawa",Centrist
CBC North,https://www.cbc.ca/news/canada/north,https://www.cbc.ca/webfeed/rss/rss-canada-north,,,News Media,"news, northern-canada",Centrist
CBC Saskatchewan,https://www.cbc.ca/news/canada/saskatchewan,https://www.cbc.ca/webfeed/rss/rss-canada-saskatchewan,,,News Media,"news, saskatchewan",Centrist
Globe and Mail - Canada,https://www.theglobeandmail.com/,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/canada/,,,News Media,"news, federal, business",Center-Right
Business Council of Canada,https://www.thebusinesscouncil.ca/,https://www.thebusinesscouncil.ca/feed/?post_type=publication,,,Business Council,"business, federal, policy",Pro-Business
Conference Board of Canada,https://www.conferenceboard.ca/,,,https://www.google.ca/alerts/feeds/08144856538264139096/1110969880618422438,Research Institute,"economics, business",Pro-Business
Media Technology Monitor,https://www.mediatechdemocracy.com/,,,https://www.google.ca/alerts/feeds/08144856538264139096/6176016555217061804,Research,"media, technology",Neutral
